game_id,player_color,player_name,player_elo,opp_elo,elo_bucket,time_control,time_control_raw,opening_family,opening_eco,result,final_score,termination,site,date,source,source_date_or_month,notes,opening_window_moves,error_in_first_15_cp_75,error_count_first_15_cp_75,first_error_ply_cp_75,first_error_move_number_cp_75,max_error_cp_first_15_cp_75,first_error_cp_cp_75,error_in_first_15_cp_100,error_count_first_15_cp_100,first_error_ply_cp_100,first_error_move_number_cp_100,max_error_cp_first_15_cp_100,first_error_cp_cp_100,error_in_first_15_cp_150,error_count_first_15_cp_150,first_error_ply_cp_150,first_error_move_number_cp_150,max_error_cp_first_15_cp_150,first_error_cp_cp_150
sample_game_1,white,MagnusCarlsen,3322,2684,2200+,blitz,300,Sicilian Defense,B31,1/2-1/2,0.5,Game drawn by repetition,Chess.com,2026.02.17,local_sample,2026-02,repo sample PGN,15,0,0,,,,,0,0,,,,,0,0,,,,
sample_game_1,black,aldareee,2684,3322,2200+,blitz,300,Sicilian Defense,B31,1/2-1/2,0.5,Game drawn by repetition,Chess.com,2026.02.17,local_sample,2026-02,repo sample PGN,15,0,0,,,,,0,0,,,,,0,0,,,,
YgWpDQe5,white,Sascha52,1788,1795,1400-1799,blitz,300+3,Sicilian Defense,B30,0-1,0.0,Normal,https://lichess.org/YgWpDQe5,2026.04.02,lichess_api,2026-04,"user=thibault; rated=true; standard=true; perf=blitz,rapid; since=; until=; eval generated locally for first 30 ply",15,0,0,,,,,0,0,,,,,0,0,,,,
YgWpDQe5,black,thibault,1795,1788,1400-1799,blitz,300+3,Sicilian Defense,B30,0-1,1.0,Normal,https://lichess.org/YgWpDQe5,2026.04.02,lichess_api,2026-04,"user=thibault; rated=true; standard=true; perf=blitz,rapid; since=; until=; eval generated locally for first 30 ply",15,1,2,18,9,188.0,112.99999999999999,1,2,18,9,188.0,112.99999999999999,1,1,30,15,188.0,188.0
K9DieFc2,white,Larsenmann,1978,1780,1800-2199,blitz,300+0,Benoni Defense,A43,0-1,0.0,Normal,https://lichess.org/K9DieFc2,2026.04.02,lichess_api,2026-04,"user=thibault; rated=true; standard=true; perf=blitz,rapid; since=; until=; eval generated locally for first 30 ply",15,1,1,29,15,126.0,126.0,1,1,29,15,126.0,126.0,0,0,,,,
K9DieFc2,black,thibault,1780,1978,1400-1799,blitz,300+0,Benoni Defense,A43,0-1,1.0,Normal,https://lichess.org/K9DieFc2,2026.04.02,lichess_api,2026-04,"user=thibault; rated=true; standard=true; perf=blitz,rapid; since=; until=; eval generated locally for first 30 ply",15,1,2,4,2,103.0,103.0,1,1,4,2,103.0,103.0,0,0,,,,
T9R4YNzM,white,thibault,1767,1866,1400-1799,blitz,180+2,Sicilian Defense,B30,1-0,1.0,Normal,https://lichess.org/T9R4YNzM,2026.04.02,lichess_api,2026-04,"user=thibault; rated=true; standard=true; perf=blitz,rapid; since=; until=; eval generated locally for first 30 ply",15,1,3,17,9,135.0,91.0,1,2,19,10,135.0,135.0,0,0,,,,
T9R4YNzM,black,AlexanderDeGraaf,1866,1767,1800-2199,blitz,180+2,Sicilian Defense,B30,1-0,0.0,Normal,https://lichess.org/T9R4YNzM,2026.04.02,lichess_api,2026-04,"user=thibault; rated=true; standard=true; perf=blitz,rapid; since=; until=; eval generated locally for first 30 ply",15,1,2,24,12,139.0,139.0,1,2,24,12,139.0,139.0,0,0,,,,
34k22Fjf,white,MELEKUT,1741,1757,1400-1799,blitz,180+2,Benoni Defense,A43,0-1,0.0,Normal,https://lichess.org/34k22Fjf,2026.04.02,lichess_api,2026-04,"user=thibault; rated=true; standard=true; perf=blitz,rapid; since=; until=; eval generated locally for first 30 ply",15,0,0,,,,,0,0,,,,,0,0,,,,
34k22Fjf,black,thibault,1757,1741,1400-1799,blitz,180+2,Benoni Defense,A43,0-1,1.0,Normal,https://lichess.org/34k22Fjf,2026.04.02,lichess_api,2026-04,"user=thibault; rated=true; standard=true; perf=blitz,rapid; since=; until=; eval generated locally for first 30 ply",15,0,0,,,,,0,0,,,,,0,0,,,,
IyFe2k8U,white,Gvein,2436,3130,2200+,blitz,180+0,English Opening,A36,0-1,0.0,Normal,https://lichess.org/IyFe2k8U,2024.03.24,lichess_api,2024-03,"user=DrNykterstein; rated=true; standard=true; perf=blitz,rapid; since=; until=; eval generated locally for first 30 ply",15,0,0,,,,,0,0,,,,,0,0,,,,
IyFe2k8U,black,DrNykterstein,3130,2436,2200+,blitz,180+0,English Opening,A36,0-1,1.0,Normal,https://lichess.org/IyFe2k8U,2024.03.24,lichess_api,2024-03,"user=DrNykterstein; rated=true; standard=true; perf=blitz,rapid; since=; until=; eval generated locally for first 30 ply",15,1,1,26,13,102.0,102.0,1,1,26,13,102.0,102.0,0,0,,,,
FdVI4HR4,white,WowFlow,3065,3115,2200+,blitz,180+2,Queen's Pawn Game,D00,0-1,0.0,Normal,https://lichess.org/FdVI4HR4,2023.12.22,lichess_api,2023-12,"user=DrNykterstein; rated=true; standard=true; perf=blitz,rapid; since=; until=; eval generated locally for first 30 ply",15,0,0,,,,,0,0,,,,,0,0,,,,
FdVI4HR4,black,DrNykterstein,3115,3065,2200+,blitz,180+2,Queen's Pawn Game,D00,0-1,1.0,Normal,https://lichess.org/FdVI4HR4,2023.12.22,lichess_api,2023-12,"user=DrNykterstein; rated=true; standard=true; perf=blitz,rapid; since=; until=; eval generated locally for first 30 ply",15,1,1,14,7,85.0,85.0,0,0,,,,,0,0,,,,
kx7aGZB0,white,DrNykterstein,3113,2718,2200+,blitz,180+0,Nimzo-Larsen Attack,A01,1-0,1.0,Normal,https://lichess.org/kx7aGZB0,2023.07.01,lichess_api,2023-07,"user=DrNykterstein; rated=true; standard=true; perf=blitz,rapid; since=; until=; eval generated locally for first 30 ply",15,0,0,,,,,0,0,,,,,0,0,,,,
kx7aGZB0,black,Think_Fast_Move_Fast,2718,3113,2200+,blitz,180+0,Nimzo-Larsen Attack,A01,1-0,0.0,Normal,https://lichess.org/kx7aGZB0,2023.07.01,lichess_api,2023-07,"user=DrNykterstein; rated=true; standard=true; perf=blitz,rapid; since=; until=; eval generated locally for first 30 ply",15,0,0,,,,,0,0,,,,,0,0,,,,
kHzZLMXD,white,Chesstoday,2854,3132,2200+,blitz,180+0,Scandinavian Defense,B01,1-0,1.0,Normal,https://lichess.org/kHzZLMXD,2023.07.01,lichess_api,2023-07,"user=DrNykterstein; rated=true; standard=true; perf=blitz,rapid; since=; until=; eval generated locally for first 30 ply",15,1,2,17,9,97.0,97.0,0,0,,,,,0,0,,,,
kHzZLMXD,black,DrNykterstein,3132,2854,2200+,blitz,180+0,Scandinavian Defense,B01,1-0,0.0,Normal,https://lichess.org/kHzZLMXD,2023.07.01,lichess_api,2023-07,"user=DrNykterstein; rated=true; standard=true; perf=blitz,rapid; since=; until=; eval generated locally for first 30 ply",15,1,1,12,6,106.0,106.0,1,1,12,6,106.0,106.0,0,0,,,,
